State,Electric (EV),Plug-In Hybrid Electric (PHEV),Hybrid Electric (HEV),Biodiesel,Ethanol/Flex (E85),Compressed Natural Gas (CNG),Propane,Hydrogen,Methanol,Gasoline,Diesel,Unknown Fuel,Year
Alabama,8700,4400,50800,48100,449800,100,100,0,0,4077100,126100,30300,2022
Alaska,2000,700,9000,8700,48600,0,0,0,0,457100,30500,5500,2022
Arizona,65800,20400,150800,61200,446000,600,800,0,0,5476100,198700,70100,2022
Arkansas,5100,2500,30600,33300,283900,200,0,0,0,2229500,89700,10600,2022
California,903600,361100,1514000,183900,1338000,10300,1500,14900,0,31059000,725300,8200,2022
Colorado,59900,24000,131800,62100,346400,300,100,0,0,4506300,206800,49400,2022
Connecticut,22000,13100,64500,10100,139800,200,0,0,0,2636300,44100,21200,2022
Delaware,5400,2800,19500,4700,66200,0,0,0,0,795400,14500,5100,2022
District of Columbia,5900,3200,17200,400,17800,100,0,0,0,272200,2000,600,2022
Florida,168000,45800,338700,150900,1137200,400,100,0,0,15846500,343500,97200,2022
Georgia,60100,18100,147200,82500,745000,300,300,0,0,8204500,205900,78500,2022
Hawaii,19800,5600,32600,3100,39900,0,0,0,0,960000,15500,4000,2022
Idaho,5900,3500,36500,40300,133300,100,100,0,0,1545500,136000,33000,2022
Illinois,66900,25700,244100,55400,807900,300,0,0,0,8606400,171300,59500,2022
Indiana,17700,10100,100900,49100,587100,300,0,0,0,5116800,153500,58900,2022
Iowa,6200,4900,48600,37000,338900,100,0,0,0,2521300,103000,58200,2022
Kansas,7600,4300,43500,25000,260100,200,100,0,0,2159200,87000,17600,2022
Kentucky,7600,4400,55800,32300,363800,300,0,0,0,3368800,115800,25800,2022
Louisiana,5900,2900,31400,60100,397500,100,0,0,0,3159000,115400,19900,2022
Maine,5000,5700,28900,10500,109100,0,0,0,0,1028100,26800,7900,2022
Maryland,46100,22900,146200,30300,326900,300,0,0,0,4373900,88400,31800,2022
Massachusetts,49400,30500,158600,19500,297000,200,0,0,0,4777600,59300,30200,2022
Michigan,33100,24300,122800,62800,905700,300,100,0,0,7071800,175400,49600,2022
Minnesota,24300,11900,105300,46900,531500,100,0,0,0,4180500,127300,25600,2022
Mississippi,2400,1600,22300,31600,302000,100,0,0,0,2275400,75400,9100,2022
Missouri,17900,10400,95100,61300,576700,1200,100,0,0,4444600,176200,38900,2022
