"_col0","title","type","address","city","state","postalcode","country","region","latitude","longitude","isopening","rundate"
"dc1983","Beaver Motel","destination charger","412 Hwy 11/17 Nipigon, Ontario P0T 2J0","Nipigon","Ontario","P0T 2J0","Canada","north_america","49.016449","-88.311198","false","2022-09-05 12:05:22 PDT"
"grantsnmsupercharger","Grants, NM","supercharger","","Grants","NM","","United States","north_america","35.150593","-107.85","true","2022-09-05 12:05:22 PDT"
"oakvilletoronto","Toronto-Oakville","store","225 Wyecroft Road  Oakville, ON L6K 3S3","Oakville","ON","L6K 3S3","Canada","north_america","43.44779","-79.694832","false","2022-09-05 12:05:22 PDT"
"dc18580","Villa Fenaroli Palace Hotel","destination charger","Via Giuseppe Mazzini, 14, 25086  Rezzato, Italy","Rezzato","","25086","Italy","europe","45.512146","10.311645","false","2022-09-05 12:05:22 PDT"
"dc56853","Altezza Palmas","destination charger","Av. Paseo de las Palmas 340 Lomas - Virreyes, Lomas de Chapultepec V Secc Miguel Hidalgo, Ciudad de Mexico 11000","Miguel Hidalgo","Ciudad de Mexico","11000","Mexico","north_america","19.429584","-99.211029","false","2022-09-05 12:05:22 PDT"
"dc20893","Skjåk Turistheim","destination charger","Skjåkvegen 1184 , 2698 Skjåk, Norway","Skjåk","","2698","Norway","europe","61.882858","8.26967","false","2022-09-05 12:05:22 PDT"
"dc1904","Hyatt Place Corpus Christi","destination charger","6773 S Padre Island Dr Corpus Christi, Texas 78412","Corpus Christi","TX","78412","United States","north_america","27.696245","-97.349457","false","2022-09-05 12:05:22 PDT"
"dc31563","KABUKU","destination charger","〒517-0504 三重県志摩市阿児町志島 876","三重県","","","Japan","asia_pacific","34.305614","136.884709","false","2022-09-05 12:05:22 PDT"
"dc585981","제일볼링센터","destination charger","북구 서방로 83","북구","","","South Korea","asia_pacific","35.1718225","126.9200511","false","2022-09-05 12:05:22 PDT"
"dc30235","Stockland Green Hills","destination charger","1 Molly Morgan Dr East Maitland NSW 2323","East Maitland","","NSW 2323","Australia","asia_pacific","-32.762583","151.590355","false","2022-09-05 12:05:22 PDT"
"jettingensupercharger","Jettingen Supercharger","supercharger","Euro Rastpark Jettingen-Scheppach Robert-Bosch Straße 10  89343 Jettingen-Scheppach Germany","Jettingen","","89343","Germany","europe","48.411054","10.44042","false","2022-09-05 12:05:22 PDT"
