,state
11384,AK
17208,AK
9020,AK
4320,AL
7604,AL
2033,AL
1913,AL
6045,AL
6059,AL
9636,AL
2189,AL
6551,AL
8762,AL
1499,AL
3988,AL
9785,AL
10794,AL
9517,AL
10706,AL
11062,AL
7012,AL
10944,AL
8831,AL
1870,AL
13668,AL
17115,AL
10960,AL
6897,AL
13926,AL
13923,AL
13631,AL
9434,AL
14429,AL
4708,AL
53,AL
3722,AL
6942,AR
16336,AR
15216,AR
7685,AR
656,AR
15453,AR
1739,AR
11869,AR
11615,AR
17108,AR
13802,AR
7986,AR
707,AR
6267,AR
10459,AR
5857,AR
6736,AR
5535,AR
4218,AR
1867,AZ
12093,AZ
15223,AZ
11771,AZ
15128,AZ
16703,AZ
15960,AZ
3869,AZ
15980,AZ
5173,AZ
14304,AZ
11769,AZ
5240,AZ
2884,AZ
3764,AZ
7898,AZ
4589,AZ
10890,AZ
5432,AZ
3776,AZ
437,AZ
9021,AZ
14695,AZ
13562,AZ
16429,AZ
13721,AZ
6490,AZ
11781,AZ
17387,AZ
13194,AZ
14624,AZ
14584,AZ
12538,AZ
516,AZ
4805,AZ
6294,AZ
8251,AZ
9839,AZ
13992,AZ
6027,AZ
1777,AZ
6880,AZ
5107,AZ
14804,AZ
11958,AZ
883,AZ
6931,AZ
4323,AZ
11697,AZ
13405,AZ
16104,AZ
17463,AZ
9215,AZ
4111,AZ
17466,AZ
8490,AZ
2386,AZ
14906,AZ
3176,AZ
4263,AZ
7508,AZ
12930,AZ
4215,AZ
3127,AZ
2928,AZ
4879,AZ
14192,AZ
844,AZ
2094,AZ
12010,AZ
9561,AZ
250,AZ
16832,AZ
6735,AZ
11554,AZ
3688,AZ
11064,AZ
9305,AZ
11619,AZ
17195,AZ
2540,AZ
7362,AZ
5137,AZ
5138,AZ
11965,AZ
16684,AZ
3280,AZ
4835,AZ
6216,AL
11622,AL
932,AL
16109,AL
14063,AL
798,AL
2176,AL
796,AL
2038,AL
9553,AL
15474,AL
11844,AL
11971,AL
6441,AL
3281,AL
1488,AL
3423,AL
6504,AL
1619,AL
13313,AL
14384,AL
9399,AL
12576,AZ
6350,AZ
4402,AZ
1713,AZ
15682,AZ
3893,AZ
2638,AZ
7772,AZ
5949,AZ
10169,AZ
5196,AZ
7670,AZ
13180,AZ
2663,AZ
10292,AZ
319,AZ
16237,AZ
4096,AZ
14744,AZ
4939,AZ
2261,AZ
11809,AZ
2512,AZ
2334,AZ
6432,AZ
16045,AZ
9246,AZ
6428,AZ
7983,AZ
6390,AZ
15215,AZ
2353,AZ
9048,AZ
14143,AZ
7527,AZ
3625,AZ
7372,AK
14161,AK
13015,AK
14160,AK
14159,AK
7991,AK
9063,AK
663,AK
13231,AK
401,AK
5837,AK
142,AK
74,AK
773,AK
7371,AK
141,AK
140,AK
1735,AK
9077,AK
2597,AK
2232,CA
2198,CA
16257,CA
14801,CA
2234,CA
8455,CA
4361,CA
4905,CA
16252,CA
14778,CA
4875,CA
4378,CA
14797,CA
14531,CA
4877,CA
8088,CA
14644,CA
4912,CA
8559,CA
4951,CA
4955,CA
4959,CA
2300,CA
8564,CA
9737,CA
8567,CA
14480,CA
2310,CA
2311,CA
4966,CA
4971,CA
8575,CA
8027,CA
4995,CA
2316,CA
8554,CA
4278,CA
2292,CA
14494,CA
4321,CA
2248,CA
8486,CA
14529,CA
4936,CA
11544,CA
4867,CA
2262,CA
9776,CA
1747,CA
14831,CA
16208,CA
8526,CA
11648,CA
8531,CA
4290,CA
14859,CA
4280,CA
16581,CA
9782,CA
8136,CA
2165,CA
4580,CA
14692,CA
16468,CA
8253,CA
2055,CA
16471,CA
1911,CA
14580,CA
11585,CA
8258,CA
4550,CA
1892,CA
4808,CA
4809,CA
8284,CA
4810,CA
14573,CA
14691,CA
4535,CA
12499,CA
12540,CA
8228,CA
14650,CA
16448,CA
4675,CA
12516,CA
1977,CA
4677,CA
1940,CA
8181,CA
9935,CA
12501,CA
4606,CA
14655,CA
1999,CA
9897,CA
12536,CA
8176,CA
14608,CA
2166,CA
14709,CA
8302,CA
4446,CA
4441,CA
8361,CA
12552,CA
1821,CA
4854,CA
4421,CA
16312,CA
16307,CA
8428,CA
1814,CA
11547,CA
1805,CA
12559,CA
8431,CA
4391,CA
14770,CA
1831,CA
1881,CA
1833,CA
12455,CA
16392,CA
2086,CA
8153,CA
8146,CA
8143,CA
2087,CA
9840,CA
2090,CA
4819,CA
11555,CA
14710,CA
8315,CA
16391,CA
12459,CA
4821,CA
4825,CA
8138,CA
2118,CA
2318,CA
4037,CA
14873,CA
9026,CA
3549,CA
3546,CA
3543,CA
9027,CA
12029,CA
3507,CA
3499,CA
6916,CA
9347,CA
2887,CA
9346,CA
9034,CA
9036,CA
11866,CA
2906,CA
2912,CA
11873,CA
15329,CA
2915,CA
9322,CA
9038,CA
9040,CA
3563,CA
9023,CA
15291,CA
9370,CA
8932,CA
9448,CA
17482,CA
8961,CA
12119,CA
3710,CA
2765,CA
2766,CA
15221,CA
9409,CA
15232,CA
12019,CA
2791,CA
15251,CA
15253,CA
2803,CA
2805,CA
15786,CA
15266,CA
9388,CA
15286,CA
9379,CA
9375,CA
9372,CA
3694,CA
15210,CA
3473,CA
9054,CA
9232,CA
3197,CA
15546,CA
3079,CA
3194,CA
15440,CA
9218,CA
3187,CA
3097,CA
9139,CA
3099,CA
11936,CA
3108,CA
11952,CA
9205,CA
3165,CA
15501,CA
11937,CA
11948,CA
9164,CA
9181,CA
15481,CA
3129,CA
3200,CA
9123,CA
9113,CA
9106,CA
15363,CA
15370,CA
11982,CA
15634,CA
11981,CA
15385,CA
15387,CA
3003,CA
11972,CA
3292,CA
3273,CA
15674,CA
15418,CA
15616,CA
11916,CA
3263,CA
3037,CA
15602,CA
11919,CA
3242,CA
3051,CA
3058,CA
3239,CA
3237,CA
9266,CA
3745,CA
15209,CA
8930,CA
2468,CA
8705,CA
4081,CA
2471,CA
8706,CA
12307,CA
4071,CA
2479,CA
4060,CA
16092,CA
8729,CA
8731,CA
8739,CA
15004,CA
16086,CA
12272,CA
15010,CA
15015,CA
15017,CA
8764,CA
4000,CA
2521,CA
8770,CA
4089,CA
9665,CA
8695,CA
11696,CA
2340,CA
4217,CA
8634,CA
14886,CA
4208,CA
9710,CA
4177,CA
8654,CA
8656,CA
16144,CA
9696,CA
3989,CA
2374,CA
14914,CA
2384,CA
8669,CA
4159,CA
14943,CA
12326,CA
16117,CA
4146,CA
4133,CA
8685,CA
2442,CA
9685,CA
2536,CA
